Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Chile,427027,11702,399555,15770,1486,2.74,93.57,2.93,36692988,11638.0,414739,12288,2.96
China,90100,4733,84957,410,13,5.25,94.29,5.57,-2147483648,-42.0,89953,147,0.16
Colombia,686851,22053,552885,111913,15318,3.21,80.5,3.99,99141018,6928.0,633321,53530,8.45
Comoros,456,7,415,34,0,1.54,91.01,1.69,869595,524.0,427,29,6.79
Congo (Brazzaville),4891,114,3887,890,0,2.33,79.47,2.93,89561403,55.0,4628,263,5.68
Congo (Kinshasa),10324,260,9523,541,32,2.52,92.24,2.73,5518087,1871.0,10114,210,2.08
Costa Rica,51224,543,19544,31137,1327,1.06,38.15,2.78,5094114,10056.0,43305,7919,18.29
Cote d'Ivoire,18815,119,17770,926,37,0.63,94.45,0.67,26378274,713.0,18161,654,3.6
Croatia,12626,206,9833,2587,341,1.63,77.88,2.09,4105268,3076.0,10725,1901,17.72
Cuba,4459,104,3727,628,82,2.33,83.58,2.79,11326616,394.0,4126,333,8.07
Cyprus,1514,22,1237,255,3,1.45,81.7,1.78,1207361,1254.0,1495,19,1.27
Czechia,31036,444,20374,10218,1159,1.43,65.65,2.18,10708981,2898.0,25773,5263,20.42
Denmark,19036,628,16414,1994,252,3.3,86.23,3.83,5897840,3228.0,17620,1416,8.04
Diamond Princess,712,13,651,48,0,1.83,91.43,2.0,0,inf,712,0,0.0
Djibouti,5391,61,5327,3,3,1.13,98.81,1.15,988002,5456.0,5387,4,0.07
Dominica,22,0,18,4,0,0.0,81.82,0.0,71991,306.0,20,2,10.0
Dominican Republic,100937,1914,74305,24718,806,1.9,73.62,2.58,10847904,9305.0,95627,5310,5.55
Ecuador,112166,10701,91242,10223,1409,9.54,81.35,11.73,17643060,6358.0,115457,-3291,-2.85
Egypt,100403,5577,80689,14137,175,5.55,80.37,6.91,102334403,981.0,99280,1123,1.13
El Salvador,26602,770,16786,9046,91,2.89,63.1,4.59,6486201,4101.0,25904,698,2.69
Equatorial Guinea,4990,83,4479,428,5,1.66,89.76,1.85,1402985,3557.0,4965,25,0.5
Eritrea,341,0,295,46,0,0.0,86.51,0.0,3546427,96.0,319,22,6.9
Estonia,2585,64,2213,308,21,2.48,85.61,2.89,1326539,1949.0,2415,170,7.04
Eswatini,4936,97,4077,762,32,1.97,82.6,2.38,1160164,4255.0,4668,268,5.74
Ethiopia,61700,966,23054,37680,916,1.57,37.36,4.19,114963583,537.0,54409,7291,13.4
Fiji,32,2,24,6,1,6.25,75.0,8.33,896444,36.0,29,3,10.34
Finland,8430,337,7500,593,93,4.0,88.97,4.49,5540718,1521.0,8161,269,3.3
France,383292,30805,89242,263245,9574,8.04,23.28,34.52,68136441,5625.0,331060,52232,15.78
Gabon,8621,53,7618,950,13,0.61,88.37,0.7,2225728,3873.0,8538,83,0.97
Gambia,3293,99,1460,1734,18,3.01,44.34,6.78,2416664,1363.0,3067,226,7.37
Georgia,1773,19,1325,429,44,1.07,74.73,1.43,3989175,444.0,1548,225,14.53
Germany,256433,9342,228784,18307,1476,3.64,89.22,4.08,166803158,1537.0,247411,9022,3.65
Ghana,45313,283,44188,842,301,0.62,97.52,0.64,31072945,1458.0,44658,655,1.47
Greece,12080,293,1347,10440,248,2.43,11.15,21.75,10423056,1159.0,10757,1323,12.3
Grenada,24,0,24,0,0,0.0,100.0,0.0,112519,213.0,24,0,0.0
Guatemala,79622,2897,68308,8417,901,3.64,85.79,4.24,17915567,4444.0,75644,3978,5.26
Guinea,9885,63,9068,754,37,0.64,91.73,0.69,13132792,753.0,9479,406,4.28
Guinea-Bissau,2245,38,1127,1080,0,1.69,50.2,3.37,1967998,1141.0,2205,40,1.81
Guyana,1703,48,1045,610,90,2.82,61.36,4.59,786559,2165.0,1382,321,23.23
Haiti,8384,214,5991,2179,8,2.55,71.46,3.57,11402533,735.0,8258,126,1.53
Holy See,12,0,12,0,0,0.0,100.0,0.0,809,14833.0,12,0,0.0
Honduras,65597,2044,15064,48489,379,3.12,22.96,13.57,9904608,6623.0,62526,3071,4.91
Hungary,9715,628,3984,5103,411,6.46,41.01,15.76,9660350,1006.0,6622,3093,46.71
Iceland,2153,10,2067,76,3,0.46,96.01,0.48,341250,6309.0,2121,32,1.51
India,4465863,75062,3471783,919018,95735,1.68,77.74,2.16,-2147483648,-2080.0,3853406,612457,15.89
Indonesia,203342,8336,145200,49806,3307,4.1,71.41,5.74,273523621,743.0,180646,22696,12.56
Iran,393425,22669,339111,31645,2313,5.76,86.19,6.68,83992953,4684.0,378752,14673,3.87
Iraq,273821,7732,209993,56096,4243,2.82,76.69,3.68,40222503,6808.0,242284,31537,13.02
Ireland,30164,1781,23364,5019,84,5.9,77.46,7.62,4937796,6109.0,29114,1050,3.61
Israel,141097,1054,108354,31689,3532,0.75,76.79,0.97,8655541,16301.0,121464,19633,16.16
Italy,281583,35577,211272,34734,1430,12.63,75.03,16.84,120822834,2331.0,271515,10068,3.71
Jamaica,3437,38,1019,2380,114,1.11,29.65,3.73,2961161,1161.0,2683,754,28.1
Japan,73264,1412,63734,8118,540,1.93,86.99,2.22,252643406,290.0,69619,3645,5.24
Jordan,2659,19,1919,721,78,0.71,72.17,0.99,10203140,261.0,2161,498,23.04
Kazakhstan,106584,1634,100248,4702,86,1.53,94.06,1.63,18776707,5676.0,106032,552,0.52
Kenya,35460,607,21557,13296,104,1.71,60.79,2.82,53771300,659.0,34493,967,2.8
"Korea, South",21743,346,17360,4037,155,1.59,79.84,1.99,51269183,424.0,20644,1099,5.32
Kosovo,12683,488,8788,3407,0,3.85,69.29,5.55,1793000,7074.0,12683,0,0.0
Kuwait,92082,552,82222,9308,838,0.6,89.29,0.67,4270563,21562.0,86478,5604,6.48
Kyrgyzstan,44613,1061,40336,3216,126,2.38,90.41,2.63,6524191,6838.0,44036,577,1.31
Laos,22,0,21,1,0,0.0,95.45,0.0,7275556,3.0,22,0,0.0
Latvia,1443,35,1234,174,11,2.43,85.52,2.84,1886202,765.0,1406,37,2.63
Lebanon,21877,212,7024,14641,553,0.97,32.11,3.02,6825442,3205.0,18375,3502,19.06
Lesotho,1164,31,528,605,16,2.66,45.36,5.87,2142252,543.0,1085,79,7.28
Liberia,1313,82,1194,37,2,6.25,90.94,6.87,5057677,260.0,1305,8,0.61
Libya,20462,324,2329,17809,879,1.58,11.38,13.91,6871287,2978.0,15156,5306,35.01
Liechtenstein,108,1,105,2,1,0.93,97.22,0.95,38137,2832.0,107,1,0.93
Lithuania,3163,86,2008,1069,32,2.72,63.48,4.28,2722291,1162.0,2958,205,6.93
Luxembourg,7023,124,6292,607,49,1.77,89.59,1.97,625976,11219.0,6745,278,4.12
MS Zaandam,9,2,0,7,0,22.22,0.0,inf,0,inf,9,0,0.0
Madagascar,15520,206,14243,1071,85,1.33,91.77,1.45,27691019,560.0,15023,497,3.31
Malawi,5653,176,3630,1847,23,3.11,64.21,4.85,19129955,296.0,5579,74,1.33
Malaysia,9583,128,9143,312,24,1.34,95.41,1.4,32365998,296.0,9360,223,2.38
Maldives,8834,31,6288,2515,93,0.35,71.18,0.49,540542,16343.0,8140,694,8.53
Mali,2898,128,2267,503,16,4.42,78.23,5.65,20250834,143.0,2802,96,3.43
Malta,2162,14,1760,388,63,0.65,81.41,0.8,441539,4897.0,1931,231,11.96
Mauritania,7191,161,6701,329,26,2.24,93.19,2.4,4649660,1547.0,7089,102,1.44
Mauritius,361,10,335,16,0,2.77,92.8,2.99,1271767,284.0,356,5,1.4
Mexico,647321,69049,538514,39758,4461,10.67,83.19,12.82,255584572,2533.0,610957,36364,5.95
Moldova,41144,1096,28962,11086,588,2.66,70.39,3.78,4033963,10199.0,37740,3404,9.02
Monaco,161,1,107,53,5,0.62,66.46,0.93,39244,4103.0,142,19,13.38
Mongolia,310,0,298,12,0,0.0,96.13,0.0,3278292,95.0,306,4,1.31
Montenegro,6094,114,4350,1630,219,1.87,71.38,2.62,628062,9703.0,5019,1075,21.42
Morocco,77878,1453,59723,16702,2157,1.87,76.69,2.43,36910558,2110.0,65453,12425,18.98
Mozambique,4764,28,2763,1973,117,0.59,58.0,1.01,31255435,152.0,4117,647,15.72
Namibia,9108,93,4640,4375,180,1.02,50.94,2.0,2540916,3585.0,7844,1264,16.11
Nepal,49219,312,33882,15025,1081,0.63,68.84,0.92,29136808,1689.0,41649,7570,18.18
Netherlands,81085,6281,1742,73062,1293,7.75,2.15,360.56,34882427,2325.0,74660,6425,8.61
New Zealand,1792,24,1648,120,4,1.34,91.96,1.46,4822233,372.0,1759,33,1.88
Nicaragua,4818,144,2913,1761,0,2.99,60.46,4.94,6624554,727.0,4668,150,3.21
Niger,1178,69,1099,10,0,5.86,93.29,6.28,24206636,49.0,1176,2,0.17
Nigeria,55632,1070,43610,10952,176,1.92,78.39,2.45,399640130,139.0,54463,1169,2.15
North Macedonia,15293,634,12754,1905,67,4.15,83.4,4.97,2083380,7340.0,14600,693,4.75
Norway,11746,264,9348,2134,123,2.25,79.58,2.82,5421242,2167.0,11034,712,6.45
Oman,87939,751,83115,4073,349,0.85,94.51,0.9,5106622,17221.0,85928,2011,2.34
Pakistan,300030,6365,287658,6007,371,2.12,95.88,2.21,428724125,700.0,297014,3016,1.02
Panama,99042,2116,71419,25507,635,2.14,72.11,2.96,4314768,22954.0,94084,4958,5.27
Papua New Guinea,504,5,232,267,1,0.99,46.03,2.16,8947027,56.0,471,33,7.01
Paraguay,25026,474,12309,12243,812,1.89,49.18,3.85,7132530,3509.0,19138,5888,30.77
Peru,696190,30123,536959,129108,4615,4.33,77.13,5.61,65597846,10613.0,657129,39061,5.94
Philippines,245143,3986,185543,55614,3156,1.63,75.69,2.15,109581085,2237.0,226440,18703,8.26
Poland,71947,2147,57135,12665,421,2.98,79.41,3.76,37846605,1901.0,68517,3430,5.01
Portugal,61541,1849,43284,16408,646,3.0,70.33,4.27,10196707,6035.0,58633,2908,4.96
Qatar,120846,205,117746,2895,267,0.17,97.43,0.17,2881060,41945.0,119206,1640,1.38
Romania,98304,4018,41002,53284,1271,4.09,41.71,9.8,19237682,5110.0,89891,8413,9.36
Russia,1037526,18080,854069,165377,5172,1.74,82.32,2.12,292579178,3546.0,1001965,35561,3.55
Rwanda,4460,21,2325,2114,21,0.47,52.13,0.9,12952209,344.0,4218,242,5.74
Saint Kitts and Nevis,17,0,17,0,0,0.0,100.0,0.0,53109,320.0,17,0,0.0
Saint Lucia,27,0,26,1,1,0.0,96.3,0.0,183629,147.0,26,1,3.85
Saint Vincent and the Grenadines,62,0,58,4,0,0.0,93.55,0.0,110854,559.0,61,1,1.64
San Marino,722,42,662,18,6,5.82,91.69,6.34,33938,21274.0,735,-13,-1.77
Sao Tome and Principe,898,15,862,21,0,1.67,95.99,1.74,219159,4097.0,896,2,0.22
Saudi Arabia,323012,4165,298966,19881,775,1.29,92.56,1.39,34813867,9278.0,317486,5526,1.74
Senegal,14102,293,10176,3633,58,2.08,72.16,2.88,16743930,842.0,13743,359,2.61
Serbia,32078,728,0,31350,84,2.27,0.0,inf,8737370,3671.0,31581,497,1.57
Seychelles,137,0,127,10,0,0.0,92.7,0.0,98340,1393.0,136,1,0.74
Sierra Leone,2067,72,1622,373,3,3.48,78.47,4.44,7976985,259.0,2029,38,1.87
Singapore,57166,27,56492,647,75,0.05,98.82,0.05,5850343,9771.0,56860,306,0.54
Slovakia,4888,37,2947,1904,161,0.76,60.29,1.26,5459643,895.0,4042,846,20.93
Slovenia,3312,135,2587,590,80,4.08,78.11,5.22,2078932,1593.0,2979,333,11.18
Somalia,3371,97,2738,536,0,2.88,81.22,3.54,15893219,212.0,3310,61,1.84
South Africa,642431,15168,569935,57328,1990,2.36,88.72,2.66,59308690,10832.0,630595,11836,1.88
South Sudan,2555,49,1290,1216,3,1.92,50.49,3.8,11193729,228.0,2532,23,0.91
Spain,543379,29628,150376,363375,8866,5.45,27.67,19.7,93691843,5800.0,479554,63825,13.31
Sri Lanka,3147,12,2946,189,7,0.38,93.61,0.41,21413250,147.0,3101,46,1.48
Sudan,13437,833,6730,5874,0,6.2,50.09,12.38,43849269,306.0,13189,248,1.88
Suriname,4447,92,3622,733,28,2.07,81.45,2.54,586634,7581.0,4149,298,7.18
Sweden,85880,5842,0,80038,173,6.8,0.0,inf,20426859,4204.0,84532,1348,1.59
Switzerland,45306,2019,38100,5187,469,4.46,84.09,5.3,8654618,5235.0,42763,2543,5.95
Syria,3351,143,780,2428,62,4.27,23.28,18.33,17500657,191.0,2898,453,15.63
Taiwan*,495,7,475,13,0,1.41,95.96,1.47,23806638,21.0,489,6,1.23
Tajikistan,8899,71,7683,1145,39,0.8,86.34,0.92,9537642,933.0,8654,245,2.83
Tanzania,509,21,183,305,0,4.13,35.95,11.48,59734213,9.0,509,0,0.0
Thailand,3454,58,3310,86,7,1.68,95.83,1.75,69799978,49.0,3427,27,0.79
Timor-Leste,27,0,25,2,0,0.0,92.59,0.0,1318442,20.0,27,0,0.0
Togo,1528,36,1144,348,15,2.36,74.87,3.15,8278737,185.0,1434,94,6.56
Trinidad and Tobago,2588,39,749,1800,197,1.51,28.94,5.21,1399491,1849.0,1920,668,34.79
Tunisia,5417,96,1862,3459,0,1.77,34.37,5.16,11818618,458.0,4196,1221,29.1
Turkey,284943,6837,254188,23918,1673,2.4,89.21,2.69,84339067,3379.0,273301,11642,4.26
US,6361265,190859,2387479,3782927,34256,3.0,37.53,7.99,330541757,19245.0,6113510,247755,4.05
Uganda,4101,46,1876,2179,201,1.12,45.74,2.45,45741000,90.0,3112,989,31.78
Ukraine,146511,3034,67092,76385,2597,2.07,45.79,4.52,89634808,1635.0,128833,17678,13.72
United Arab Emirates,75981,393,67359,8229,883,0.52,88.65,0.58,9890400,7682.0,71540,4441,6.21
United Kingdom,357613,41683,1831,314099,2681,11.66,0.51,2276.52,134856358,2652.0,340929,16684,4.89
Uruguay,1741,45,1478,218,29,2.58,84.89,3.04,3473727,501.0,1626,115,7.07
Uzbekistan,44930,366,42212,2352,649,0.81,93.95,0.87,33469199,1342.0,42437,2493,5.87
Venezuela,56751,452,45318,10981,1188,0.8,79.85,1.0,28435943,1996.0,48883,7868,16.1
Vietnam,1059,35,890,134,5,3.31,84.04,3.93,97338583,11.0,1046,13,1.24
West Bank and Gaza,27919,192,18466,9261,556,0.69,66.14,1.04,4543126,6145.0,23875,4044,16.94
Western Sahara,10,1,8,1,0,10.0,80.0,12.5,597330,17.0,10,0,0.0
Yemen,1999,576,1209,214,5,28.81,60.48,47.64,29825968,67.0,1976,23,1.16
Zambia,13112,300,11839,973,160,2.29,90.29,2.53,18383956,713.0,12415,697,5.61
Zimbabwe,7429,222,5542,1665,41,2.99,74.6,4.01,14862927,500.0,6638,791,11.92
